,city,oe
0,agartala,3.3887188987832437
1,agra,3.453155089278717
2,ahmedabad,3.4437417055818145
3,aizawl,3.5761067872812746
4,aligarh,3.4748606647258526
5,allahabad,3.3631035126882245
6,alwar,3.2545615094050193
7,amravati,3.4191730872215547
8,amritsar,3.5073358034617486
9,aurangabad,3.3198955251336524
10,bareilly,3.3836705266706937
11,bengaluru,3.3067727290073328
12,bhilainagar,3.3270391002557
13,bhopal,3.4865262448244585
14,bhubaneswar,3.4578606325481105
15,chandigarh,2.891678113909342
16,chennai,3.1291330626187226
17,coimbatore,3.1554722988481307
18,cuttack,3.471657385808431
19,dehradun,3.3679857314365353
20,delhi,3.4109017935452743
21,dewas,3.4337662599928196
22,dhanbad,3.5354797113089735
23,durgapur,3.465959346767423
24,erode,3.454465672399546
25,faridabad,2.896506135331751
26,firozabad,3.2454030791909214
27,gangtok,3.5373816955992528
28,gaya,3.2053400818225444
29,ghaziabad,3.5253392247259216
30,guntur,3.0914566473205634
31,gurgaon,3.413956831034177
32,guwahati,3.4464593057728736
33,gwalior,3.5169117344303436
34,haldia,3.5269476955213346
35,hubli dharwad,3.4073495005665135
36,hyderabad,3.408072065087948
37,imphal,3.4071839234294115
38,indore,3.3255437015268967
39,itanagar,3.5774349297945576
40,jabalpur,3.479756382094548
41,jaipur,3.428997630355178
42,jalandhar,3.340818262159571
43,jalgaon,3.4106905450855014
44,jalpaiguri,3.161014224945995
45,jammu,3.5417565470721173
46,jamshedpur,3.425790698913569
47,jhansi,3.5476595101505612
48,jodhpur,3.5235355650774345
49,kanpur,3.405907497922227
50,kochi,3.1954088979514594
51,kohima,3.5770784264926476
52,kolhapur,3.4490839486381546
53,kolkata,3.280875007822312
54,korba,3.5467122490120806
55,kota,3.4994430476930454
56,kurnool,3.3129055867738098
57,lucknow,3.424278480813513
58,ludhiana,3.322379441217537
59,madurai,3.323579228523236
60,mangaluru,3.5131656730162906
61,meerut,3.3720629829294366
62,moradabad,3.425303290327873
63,mumbai,3.4819968236186973
64,muzaffarpur,3.3378438476070964
65,mysuru,3.260255033301345
66,nagpur,3.348890547243376
67,nalgonda,3.340811670427007
68,nashik,3.3445040031942117
69,nellore,3.3128227377355266
70,noida,3.4609595500733974
71,panaji,3.5199312632888278
72,patiala,3.421260687721517
73,patna,3.2479121984588346
74,pune,3.3237832669734773
75,raipur,3.470914428646696
76,rajkot,3.376916802817915
77,ranchi,3.3830004940663754
78,rourkela,3.213618149765648
79,sagar,3.5317308642771326
80,sangli-miraj-kupwad,3.2712945943722342
81,shilong,3.5727464748220834
82,shimla,3.5738643808053876
83,shivamogga,3.444522639243546
84,silchar,3.4732965774249926
85,siliguri,3.2807154020976896
86,solapur,3.421555558949768
87,srinagar,3.5511322673752432
88,surat,3.2669337748438347
89,thiruvananthapuram,3.5628814517375207
90,thoothukkudi,3.2047499918510773
91,tiruchirappalli,3.3056040630121113
92,tiruppur,3.211231174872637
93,udaipur,3.4681418924025937
94,ujjain,3.4167887731801736
95,vadodara,3.300936583126875
96,varanashi,3.3149552063747163
97,vijaywada,3.296770260274663
98,vishakhapatnam,3.4188016482037074
99,warangal,3.4487186244159163
