,city,year,vehicle,direction,r2_temporal,r2_spatial
0,ahmedabad,2021,car,F,0.3433075579287686,0.9589619079791332
0,ahmedabad,2021,truck,F,0.2089050372856268,0.8000805478835378
0,aizawl,2021,car,F,0.4834920337937656,0.9686855541327328
0,aizawl,2021,truck,F,0.4692197449694968,0.9584994776723216
0,bhopal,2021,car,F,0.5142144096754384,0.9415365116577412
0,bhopal,2021,truck,F,0.5170274452038844,0.9065834855373334
0,bhubaneswar,2021,car,F,0.4939292343978586,0.9533775046514348
0,bhubaneswar,2021,truck,F,0.2864846492412988,0.950183535624792
0,chandigarh,2021,car,F,0.3931337055702205,0.9389152488323256
0,chandigarh,2021,truck,F,0.2951047975520748,0.8703131356706055
0,chennai,2021,car,F,0.6107455673084805,0.9771296580269032
0,chennai,2021,truck,F,0.2878805413299684,0.9835690007171428
0,coimbatore,2021,car,F,0.284767781800061,0.9224633555718924
0,coimbatore,2021,truck,F,0.2789254664820008,0.897664240975192
0,erode,2021,car,F,0.2863876169839725,0.9525830333836746
0,erode,2021,truck,F,0.2550865665290042,0.9698151133711964
0,faridabad,2021,car,F,0.4466756445266107,0.9809921631634976
0,faridabad,2021,truck,F,0.2527456681836089,0.8770067500012697
0,gangtok,2021,car,F,0.3199274480117188,0.7804473812109702
0,gangtok,2021,truck,F,0.1829029338993788,0.9533716764131204
0,guwahati,2021,car,F,0.5419360018460877,0.946643176710738
0,guwahati,2021,truck,F,0.433019596550951,0.956958986702124
0,hubli dharwad,2021,car,F,0.2933878549716573,0.8869474225349046
0,hubli dharwad,2021,truck,F,0.2072668347968208,0.8582158986713905
0,hyderabad,2021,car,F,0.4880568638514777,0.9283021673370644
0,hyderabad,2021,truck,F,0.2716833061919013,0.8747634280320273
0,imphal,2021,car,F,0.2763917081547719,0.9408225008359364
0,imphal,2021,truck,F,0.3348205129177485,0.8241078482920197
0,indore,2021,car,F,0.5050777030568958,0.9651447157682655
0,indore,2021,truck,F,0.3323147136131866,0.9001872381876727
0,jaipur,2021,car,F,0.4515423420343701,0.9649263844747455
0,jaipur,2021,truck,F,0.332160350249158,0.917174042409208
0,kanpur,2021,car,F,0.2993385010563097,0.9675407053296544
0,kanpur,2021,truck,F,0.1926654710563987,0.8870530021498226
0,kochi,2021,car,F,0.5087735682985015,0.935291819568371
0,kochi,2021,truck,F,0.2776270925881091,0.8357297598387784
0,kohima,2021,car,F,0.2087791363519477,0.9467991412610574
0,kohima,2021,truck,F,0.2340757387923433,0.7453692071632547
0,kolkata,2021,car,F,0.5520911462310348,0.9337220636570088
0,kolkata,2021,truck,F,0.1882298652825422,0.882258324659259
0,lucknow,2021,car,F,0.4588732176641697,0.9270214476707536
0,lucknow,2021,truck,F,0.3705785917825082,0.862576083531695
0,madurai,2021,car,F,0.1876431984502409,0.938533834214946
0,madurai,2021,truck,F,0.2364113321169135,0.9281875145024748
0,mangaluru,2021,car,F,0.5960390030575577,0.9830116031550375
0,mangaluru,2021,truck,F,0.2192422540945145,-0.0980217703001183
0,meerut,2021,car,F,0.4608966296605467,0.9753823540256156
0,meerut,2021,truck,F,0.2615626533687847,0.9045223733993284
0,mumbai,2021,car,F,0.5178272870871516,0.979624874169898
0,mumbai,2021,truck,F,0.3391695499793772,0.9068426498518624
0,mysuru,2021,car,F,0.3136507335386813,0.9394995013094668
0,mysuru,2021,truck,F,0.2347961715322219,0.8844113707532458
0,patna,2021,car,F,0.4790241297805584,0.9630764921095016
0,patna,2021,truck,F,0.2962045044528451,0.9184846429449404
0,pune,2021,car,F,0.4729967044112577,0.9639758594874436
0,pune,2021,truck,F,0.2531083278420937,0.9689684974078904
0,ranchi,2021,car,F,0.3146582331406428,0.9057378794544336
0,ranchi,2021,truck,F,0.236561023129706,0.8245712072223315
0,rourkela,2021,car,F,0.2040277621642419,0.9659086360097432
0,rourkela,2021,truck,F,0.2595866686466759,0.92440056875096
0,shilong,2021,car,F,0.2887127926050373,0.9687254212373456
0,shilong,2021,truck,F,0.3386641158640995,0.9311029758201989
0,shivamogga,2021,car,F,0.2884027395281957,0.9379932515102148
0,shivamogga,2021,truck,F,0.3722383589055087,0.7073277726351651
0,surat,2021,car,F,0.2866588174878225,0.963061466850956
0,surat,2021,truck,F,0.1387301341393115,0.876605190397858
0,tiruchirappalli,2021,car,F,0.2532783694742026,0.9349670518855606
0,tiruppur,2021,car,F,0.2627043892808526,0.9697806234883052
0,tiruppur,2021,truck,F,0.3360855567557765,0.8904558841992763
0,vadodara,2021,car,F,0.4808463430277025,0.9888099086942236
0,vadodara,2021,truck,F,0.3357723078918439,0.9788640232242828
0,varanashi,2021,car,F,0.3226459883962165,0.9177457514286544
0,vijaywada,2021,car,F,0.5624914599578564,0.9898548230783828
0,vishakhapatnam,2021,car,F,0.2605470735285089,0.9595128934801616
